pc_time_s,timestamp_ms,P_abs,P_g,P_atm,raw_line
1778765545.905637,1259,99.20,-0.07,99.27,"1259,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.0005598,1359,99.20,-0.07,99.27,"1359,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.099463,1459,99.20,-0.07,99.27,"1459,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.1994686,1559,99.20,-0.07,99.27,"1559,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.2998896,1659,99.20,-0.07,99.27,"1659,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.400202,1759,99.20,-0.07,99.27,"1759,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765546.5002272,1859,99.44,0.18,99.27,"1859,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765546.6002054,1959,99.44,0.18,99.27,"1959,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765546.699583,2059,99.44,0.18,99.27,"2059,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765546.7992632,2159,99.44,0.18,99.27,"2159,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765546.9006824,2259,99.44,0.18,99.27,"2259,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765546.99952,2359,99.20,-0.07,99.27,"2359,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765547.1000452,2459,99.20,-0.07,99.27,"2459,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765547.2005928,2560,99.44,0.18,99.27,"2560,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765547.3006535,2660,99.44,0.18,99.27,"2660,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765547.401145,2760,99.20,-0.07,99.27,"2760,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765547.5007856,2860,99.44,0.18,99.27,"2860,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765547.600971,2960,99.20,-0.07,99.27,"2960,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765547.7012882,3060,99.20,-0.07,99.27,"3060,99.20,-0.07,99.27,0.00,IDLE,0,-1"
1778765547.8004787,3160,99.44,0.18,99.27,"3160,99.44,0.18,99.27,0.00,IDLE,0,-1"
1778765547.9013364,3260,99.20,-0.07,99.27,"3260,99.20,-0.07,99.27,0.00,IDLE,0,-1"
