time_s,state,P_g,P_g_smooth,rampTarget_g,rampHold,Height_yellow_px,Height_yellow_px_smooth,compression_pct,compression_pct_smooth
10.156,RAMP_PRE,-0.15,1.41,0,1,,,,
10.306,RAMP_PRE,1.36,0.859090909,0,1,225,224.9092209,-0.134318616,-0.093918152
10.457,RAMP_PRE,0.35,0.399090909,0,1,225,225.106951,-0.134318616,-0.181916259
10.605,RAMP_PRE,0.35,-0.014545455,0,1,225,225.1428571,-0.134318616,-0.197895961
10.757,RAMP_PRE,-0.66,-0.336363636,0,1,224,225.2001813,0.3107228,-0.223407603
10.905,RAMP_PRE,-1.16,-0.52,0,1,226,225.4988093,-0.579360032,-0.356309398
11.057,RAMP_PRE,-1.16,-0.611818182,0,1,225,225.1964996,-0.134318616,-0.221769066
11.205,RAMP_PRE,-1.67,-0.840909091,0,1,225.186859,225.2990614,-0.217478614,-0.267413306
11.425,RAMP_PRE,-0.66,-1.024545455,0,1,223.9822142,225.2848673,0.318638226,-0.261096381
11.533,RAMP_PRE,-1.16,-1.161818182,0,1,223,224.9088173,0.755764217,-0.093738555
11.657,RAMP_PRE,-1.16,-1.07,0,1,227,225.1590191,-1.024401448,-0.205088707
11.805,RAMP_PRE,-1.16,-1.07,0,1,227,225.0556303,-1.024401448,-0.159076408
11.967,RAMP_PRE,-1.16,-0.978181818,0,1,222,224.3785709,1.200805633,0.142243064
12.106,RAMP_PRE,-1.67,-0.886363636,0,1,227,224.9047619,-1.024401448,-0.091933719
12.329,RAMP_PRE,-1.16,-0.84,0,1,221,224.9047619,1.645847049,-0.091933719
12.405,RAMP_PRE,0.35,-0.794545455,0,1,221,225.2659901,1.645847049,-0.252695216
12.557,RAMP_PRE,-1.16,-0.749090909,0,1,227,225.8220239,-1.024401448,-0.500153313
12.706,RAMP_PRE,-0.15,-0.749090909,0,1,227,225.6717011,-1.024401448,-0.433253423
12.856,RAMP_PRE,-0.66,-0.749090909,0,1,227,226.0137606,-1.024401448,-0.585484061
13.007,RAMP_PRE,-0.15,-0.749090909,0,1,226.7286044,226.3204097,-0.903619162,-0.721955633
13.157,RAMP_PRE,-0.66,-0.703636364,0,1,226,226.169078,-0.579360032,-0.65460675
13.307,RAMP_PRE,-0.66,-0.795454545,0,1,225,225.8926354,-0.134318616,-0.531578359
13.457,RAMP_PRE,-1.16,-0.75,0,1,225.8052939,225.6759384,-0.492707759,-0.435139192
13.607,RAMP_PRE,-1.16,-0.75,0,1,226,225.6190476,-0.579360032,-0.409820445
13.758,RAMP_PRE,-1.67,-0.75,0,1,225,225.4761905,-0.134318616,-0.346243099
13.907,RAMP_PRE,-0.66,-0.841818182,0,1,226,225.4761905,-0.579360032,-0.346243099
14.057,RAMP_PRE,-0.66,-0.887272727,0,1,226,225.3563258,-0.579360032,-0.292898352
14.208,RAMP_PRE,-0.66,-0.840909091,0,1,225,225.2380952,-0.134318616,-0.240280858
14.357,RAMP_PRE,-0.15,-0.795454545,0,1,225,225.2380952,-0.134318616,-0.240280858
14.508,RAMP_PRE,-0.66,-0.703636364,0,1,225,225.0917979,-0.134318616,-0.175172505
14.658,RAMP_PRE,-1.16,-0.611818182,0,1,225,225.0119147,-0.134318616,-0.13962116
14.807,RAMP_PRE,-1.16,-0.52,0,1,225,225.0952381,-0.134318616,-0.176703512
14.957,RAMP_PRE,-0.15,-0.52,0,1,225,225.0952381,-0.134318616,-0.176703512
15.108,RAMP_PRE,-0.66,-0.428181818,0,1,225,225.0952381,-0.134318616,-0.176703512
15.326,RAMP_PRE,-0.15,-0.474545455,10,0,225,224.9609876,-0.134318616,-0.116956474
15.407,RAMP_PRE,-0.66,-0.428181818,10,0,225,224.3889537,-0.134318616,0.137622302
15.555,RAMP_PRE,0.35,-0.336363636,10,0,225,223.7619048,-0.134318616,0.416685042
15.708,RAMP_PRE,-0.66,-0.290909091,10,0,225,223.525344,-0.134318616,0.521964358
15.856,RAMP_PRE,0.35,-0.337272727,10,0,218,223,2.980971297,0.755764217
16.008,RAMP_PRE,-0.66,-0.245454545,10,0,223.9633286,222.2945127,0.327043105,1.06973527
16.155,RAMP_PRE,-0.15,-0.245454545,10,0,225,221.2953398,-0.134318616,1.514408626
16.308,RAMP_PRE,-0.15,-0.199090909,10,0,225,221.0692788,-0.134318616,1.61501513
16.457,RAMP_PRE,-0.66,-0.244545455,10,0,217,222.1215386,3.426012713,1.1467159
16.607,RAMP_PRE,-0.66,-0.152727273,10,0,219,222.212258,2.535929881,1.106342033
16.758,RAMP_PRE,0.35,-0.198181818,10,0,225,222.6758163,-0.134318616,0.900039393
16.908,RAMP_PRE,-0.15,-0.151818182,10,0,225,222.7619048,-0.134318616,0.861726458
17.056,RAMP_PRE,-0.15,-0.151818182,10,0,224,223.6295798,0.3107228,0.475575134
17.208,RAMP_PRE,-0.15,-0.243636364,10,0,224.2756329,224.3464587,0.188054746,0.156534326
17.357,RAMP_PRE,0.35,-0.197272727,10,0,225,224.4967816,-0.134318616,0.089634436
17.507,RAMP_PRE,-0.15,-0.197272727,10,0,223,224.6771789,0.755764217,0.009350135
17.658,RAMP_PRE,-0.15,-0.150909091,10,0,225.4285936,224.9818601,-0.325060519,-0.126245615
17.807,RAMP_PRE,-0.15,-0.105454545,10,0,226,225.1888719,-0.579360032,-0.218374454
17.958,RAMP_PRE,-1.16,-0.06,10,0,226,225.3967108,-0.579360032,-0.310871352
